ID_USUARIO,ID_FAMILIA_USUARIO,UNIDADE,DATA_SOLICITACAO,STATUS DA SOLICITA??O,
89596,360027,CRAS PLANALTINA,03/07/2017,DEFERIDO,
1035823,359997,CRAS SOBRADINHO,03/07/2017,DEFERIDO,
285840,9773,CRAS ITAPO?,03/07/2017,DEFERIDO,
345075,43317,CRAS GAMA,03/07/2017,DEFERIDO,
429112,359906,CRAS SANTA MARIA,03/07/2017,DEFERIDO,
450429,172585,CRAS PARANO?,03/07/2017,DEFERIDO,
463605,359982,CRAS RIACHO FUNDO I,03/07/2017,DEFERIDO,
574250,360076,CRAS CEILANDIA NORTE,03/07/2017,DEFERIDO,
589489,146906,CRAS TAGUATINGA NORTE,03/07/2017,DEFERIDO,
676646,181844,CRAS SOBRADINHO II,03/07/2017,DEFERIDO,
741995,121918,CRAS AREAL,03/07/2017,DEFERIDO,
761808,28614,CRAS RECANTO DAS EMAS,03/07/2017,DEFERIDO,
772497,91522,CRAS SAMAMBAIA SUL,03/07/2017,DEFERIDO,
783032,359928,CRAS CEILANDIA SUL,03/07/2017,DEFERIDO,
847374,260334,CRAS CEILANDIA NORTE,03/07/2017,DEFERIDO,
902343,284862,CRAS ITAPO?,03/07/2017,DEFERIDO,
891404,279686,CRAS TAGUATINGA NORTE,03/07/2017,DEFERIDO,
943568,360037,CRAS ITAPO?,03/07/2017,DEFERIDO,
997019,333122,CRAS ITAPO?,03/07/2017,DEFERIDO,
1020320,348861,CRAS ITAPO?,03/07/2017,DEFERIDO,
1006780,338591,CRAS TAGUATINGA NORTE,03/07/2017,DEFERIDO,
1035566,359782,CRAS AREAL,03/07/2017,DEFERIDO,
1035846,360012,CRAS CEILANDIA NORTE,03/07/2017,DEFERIDO,
1035961,360093,CRAS CEILANDIA NORTE,03/07/2017,DEFERIDO,
1035940,360072,CRAS TAGUATINGA NORTE,03/07/2017,DEFERIDO,
1035713,359917,CRAS SAMAMBAIA EXPANS?O,03/07/2017,DEFERIDO,
1033805,358530,CRAS ITAPO?,03/07/2017,DEFERIDO,
1032815,357800,CRAS SAMAMBAIA EXPANS?O,03/07/2017,DEFERIDO,
1035905,360053,CRAS SAMAMBAIA SUL,03/07/2017,DEFERIDO,
152778,36676,CRAS SAMAMBAIA SUL,03/07/2017,DEFERIDO,
1035273,359560,CRAS AREAL,04/07/2017,DEFERIDO,
1036200,360279,CRAS SOBRADINHO,04/07/2017,DEFERIDO,
1024851,352089,CREAS TAGUATINGA ,04/07/2017,DEFERIDO,
1036248,360311,CRAS CANDANGOLANDIA,04/07/2017,DEFERIDO,
1036263,360317,CRAS RIACHO FUNDO II,04/07/2017,DEFERIDO,
1036288,360336,CRAS RECANTO DAS EMAS,04/07/2017,DEFERIDO,
1036081,360191,CRAS P SUL,04/07/2017,DEFERIDO,
1036068,360179,CRAS ARAPOANGA,04/07/2017,DEFERIDO,
1036055,360171,CRAS P SUL,04/07/2017,DEFERIDO,
1036016,370127,CRAS SAMAMBAIA EXPANS?O,04/07/2017,DEFERIDO,
1036182,360266,CRAS RIACHO FUNDO II,04/07/2017,DEFERIDO,
1035246,359535,CRAS CEILANDIA SUL,04/07/2017,DEFERIDO,
1036264,368740,CRAS CANDANGOLANDIA,04/07/2017,DEFERIDO,
1036209,360285,CRAS SAMAMBAIA SUL,04/07/2017,DEFERIDO,
995458,332350,CRAS SAMAMBAIA SUL,04/07/2017,DEFERIDO,
1013398,343789,CRAS AREAL,04/07/2017,DEFERIDO,
1020617,349084,CRAS SAMAMBAIA SUL,04/07/2017,DEFERIDO,
903955,285615,CRAS SOBRADINHO II,04/07/2017,DEFERIDO,
915858,291098,CRAS SANTA MARIA,04/07/2017,DEFERIDO,
853394,263016,CRAS SAMAMBAIA SUL,04/07/2017,DEFERIDO,
794241,217989,CRAS P SUL,04/07/2017,DEFERIDO,
791740,29944,CENTRO POP TAGUATINGA,04/07/2017,DEFERIDO,
637280,211499,CRAS ITAPO?,04/07/2017,DEFERIDO,
598306,115755,CRAS TAGUATINGA NORTE,04/07/2017,DEFERIDO,
470801,79125,CRAS FERCAL,04/07/2017,DEFERIDO,
219369,331129,CRAS ARAPOANGA,04/07/2017,DEFERIDO,
200741,163614,CRAS PLANALTINA,04/07/2017,DEFERIDO,
156857,224498,CRAS RIACHO FUNDO II,04/07/2017,DEFERIDO,
26334,873,CRAS PLANALTINA,04/07/2017,DEFERIDO,
1036642,360611,CRAS TAGUATINGA NORTE,05/07/2017,DEFERIDO,
134539,360409,CRAS PLANALTINA,05/07/2017,DEFERIDO,
1036575,360576,CRAS SAMAMBAIA SUL,05/07/2017,DEFERIDO,
1036372,360414,CRAS VARJ?O,05/07/2017,DEFERIDO,
1036308,360351,CRAS SANTA MARIA,05/07/2017,DEFERIDO,
1036578,360578,CRAS ITAPO?,05/07/2017,DEFERIDO,
1035647,359852,CRAS PLANALTINA,05/07/2017,DEFERIDO,
1036440,360455,CRAS RIACHO FUNDO I,05/07/2017,DEFERIDO,
1036459,360471,CRAS GUARA,05/07/2017,DEFERIDO,
1036498,360503,CRAS TAGUATINGA NORTE,05/07/2017,DEFERIDO,
1036663,359931,CRAS PARANO?,05/07/2017,DEFERIDO,
1036660,268856,CRAS ITAPO?,05/07/2017,DEFERIDO,
1035982,360635,CRAS PLANALTINA,05/07/2017,DEFERIDO,
1036622,360602,CRAS ITAPO?,05/07/2017,DEFERIDO,
1036384,360422,CRAS RECANTO DAS EMAS,05/07/2017,DEFERIDO,
1036371,360417,CRAS SAMAMBAIA SUL,05/07/2017,DEFERIDO,
1036516,360522,CRAS BRAS?LIA,05/07/2017,DEFERIDO,
985363,327008,CRAS RIACHO FUNDO I,05/07/2017,DEFERIDO,
964549,315453,CRAS SAMAMBAIA SUL,05/07/2017,DEFERIDO,
840051,257313,CRAS AREAL,05/07/2017,DEFERIDO,
891440,279703,CRAS SAMAMBAIA SUL,05/07/2017,DEFERIDO,
748148,247362,CRAS CEILANDIA NORTE,05/07/2017,DEFERIDO,
605370,147559,CRAS CEILANDIA NORTE,05/07/2017,DEFERIDO,
602513,21940,CRAS CEILANDIA NORTE,05/07/2017,DEFERIDO,
515781,359721,CRAS SAMAMBAIA SUL,05/07/2017,DEFERIDO,
526098,206891,CRAS PARANO?,05/07/2017,DEFERIDO,
249844,76706,CRAS ITAPO?,05/07/2017,DEFERIDO,
386399,232659,CRAS CEILANDIA NORTE,05/07/2017,DEFERIDO,
